Comparações_ABB	Tamanho_ABB
12	1052
20	5889
17	6356
18	5552
18	2311
20	1382
18	8852
16	4233
14	9239
12	5226
24	7017
19	4966
14	7270
22	4974
20	5840
16	4643
20	4147
15	4148
13	5665
10	3934
18	5786
18	9300
11	1231
15	4593
12	2636
20	5162
18	9131
18	8957
18	8462
15	7848
12	654
15	9514
7	89
18	3362
18	5065
14	2399
16	1095
23	3917
20	6631
5	333
14	5494
22	9999
15	1650
19	2763
13	1324
16	7489
17	7405
19	5471
15	1637
25	9422
14	5756
18	3774
15	8721
13	6986
18	8366
17	7709
21	8499
16	3848
18	3017
19	6961
17	8048
7	22
12	2826
20	8136
13	3383
16	7890
11	534
13	829
18	8158
20	3516
12	1162
3	3
21	3515
21	9163
19	2766
15	4838
13	3004
15	6522
16	6660
12	992
18	5943
17	8767
18	4765
18	1016
14	2104
15	9482
15	8724
22	6955
13	9681
16	8092
14	267
25	7728
20	8113
18	3092
18	2215
18	1496
20	7333
18	2748
13	2324
18	5491
19	2616
19	9837
20	5493
17	6130
17	5352
17	4610
21	7319
17	8355
15	1132
13	331
18	9346
18	3426
20	9097
12	462
15	793
16	7553
13	9943
17	9516
16	4507
15	5975
18	3959
15	4773
16	3703
15	2072
18	7864
13	5917
18	9919
11	5196
11	5017
20	8594
22	7038
15	7632
15	8431
25	8883
11	113
9	134
8	3492
14	7431
22	8488
8	975
23	7761
19	7833
11	753
15	3210
12	4646
18	1545
14	762
10	940
14	7413
14	5268
15	6914
14	1371
8	40
14	616
16	3442
20	4255
15	2885
13	3360
16	5802
16	4253
20	8306
13	2840
19	8236
14	3088
11	1722
14	8348
14	3221
18	1565
15	2130
12	1708
11	2540
18	6243
10	5892
16	3292
20	9452
15	537
12	1188
14	6565
12	1476
16	8600
14	1832
18	8389
21	9971
16	8223
20	5357
22	9764
14	2477
19	9476
14	4630
15	8845
17	7781
20	7469
19	3432
18	868
16	9190
20	8131
19	4088
25	7107
11	260
18	5795
14	9646
20	2854
19	8038
20	9289
14	8657
14	8574
14	476
16	5221
17	6401
16	9076
12	3404
14	4789
10	5398
13	7978
18	6497
13	5161
18	6806
13	1089
12	988
10	1436
19	6285
15	8768
12	8904
18	9716
20	9635
14	4446
13	7846
9	74
13	1552
12	4458
19	5868
16	7549
16	3663
18	3905
16	3189
16	2320
17	8830
19	3664
15	3892
16	5230
22	9091
18	3648
7	6371
16	840
12	1625
18	9219
10	2353
13	308
20	3340
16	6218
15	6592
16	2108
16	5121
15	2660
16	8094
19	5918
12	6857
16	8168
12	3821
15	7666
9	387
14	1369
15	1329
13	644
20	4557
14	10000
13	9473
16	4573
11	243
12	1055
5	15
11	3890
14	3777
11	855
17	5515
18	2995
16	3207
16	297
19	9654
18	2898
12	2866
18	6246
20	5005
16	7986
20	5257
13	9451
12	256
18	8465
19	7618
15	428
16	6131
23	4356
12	8149
20	7459
17	4999
18	9057
19	3810
15	824
17	3629
17	4052
18	8230
21	9996
15	7942
15	2006
17	850
21	9808
7	1352
16	408
14	6456
14	1006
17	3305
9	9321
17	3603
18	4662
14	3658
19	8859
21	4112
14	3913
15	7323
16	8081
12	693
18	9805
20	2436
23	8841
19	7263
16	3787
22	7897
24	7424
21	7878
15	9191
14	7873
20	5769
17	7548
24	8722
17	5576
16	8899
25	9129
13	2031
17	9904
18	8785
17	7703
13	9858
15	3446
19	1360
24	8716
17	7557
15	2391
22	5637
20	2317
16	2195
19	4425
14	1157
17	5810
17	8211
13	5405
18	9585
17	9172
15	3282
19	1060
9	8362
15	1154
15	6828
16	2261
13	6227
18	8755
13	1159
13	1707
19	7137
16	7415
14	492
14	4839
19	7272
16	3937
16	6199
17	2340
17	4175
12	1082
20	3482
20	6491
15	9628
20	7906
15	3999
20	1789
7	2468
18	9403
12	1374
11	7991
16	9037
16	6352
15	190
14	5613
13	4964
14	2769
9	719
17	6123
22	4475
16	7856
16	9889
13	2694
14	3512
15	5255
21	5244
20	5851
17	3100
13	9418
14	3284
21	2933
14	2260
9	2912
24	7191
20	6258
23	4700
20	9658
18	2013
20	6073
15	7649
18	1049
10	1210
9	352
14	7590
11	6822
14	5316
11	358
17	7790
19	4833
16	1747
21	7678
15	6150
11	1189
18	1404
16	6036
17	3392
21	1806
13	6675
15	3788
17	4065
20	5938
12	978
15	638
15	635
17	8687
11	3062
18	4635
17	9735
9	4271
16	1339
23	7324
16	7444
17	6654
19	7682
14	1336
12	795
20	8866
17	3082
17	4824
14	5015
6	226
14	2364
16	2771
17	6262
19	5755
10	3625
24	4419
15	8782
16	7412
19	8483
25	4719
20	4741
14	5157
15	1728
9	195
17	1122
16	6362
16	6281
11	5392
16	7700
18	9957
17	9188
12	705
14	7638
16	523
25	7851
18	2855
18	9956
11	2674
21	4221
18	6534
20	5038
18	6991
14	2795
13	7144
20	6968
20	7213
13	2277
7	731
16	2047
16	6996
21	5472
13	3556
14	5055
16	7199
5	102
12	6176
17	9912
13	6383
20	7920
14	3964
19	6339
11	1020
14	328
18	3981
17	8871
18	3182
15	288
21	1544
19	3754
16	6821
11	7097
20	5967
11	77
17	4064
15	9531
17	1146
17	7930
16	5700
12	2969
12	1485
13	755
20	6519
12	1586
19	6431
20	4320
18	1201
18	6746
13	658
17	4659
20	7765
14	985
19	4991
18	6635
13	518
17	5279
17	4531
17	4272
13	8451
18	7463
15	1368
15	4418
20	7539
12	1783
13	300
18	6244
20	2928
19	8229
16	1943
16	5897
20	6065
18	9049
8	2415
14	4003
19	8683
19	5197
21	8322
15	9883
11	1942
21	8980
10	894
18	6059
17	6316
17	5884
17	2693
17	3186
19	7514
10	7223
20	7457
18	5965
13	1038
24	5176
26	6734
13	8576
20	6958
21	7033
20	1171
15	6237
12	5262
14	9466
18	2133
20	8514
12	900
15	1680
16	7196
18	6096
2	2
15	3431
17	4390
19	5333
16	4324
13	448
15	1648
11	6559
22	9492
7	4073
17	3067
18	8641
9	37
17	4104
16	3816
19	3122
22	9031
20	7125
8	154
8	202
10	9714
12	1767
18	9667
18	8198
11	9445
16	4532
13	7476
13	8080
16	7477
15	7862
15	5934
18	2809
15	2185
17	2733
10	809
18	5095
15	2224
9	1993
17	9167
21	5290
13	634
15	5555
22	5745
14	801
15	8676
12	4776
12	7926
21	4977
23	3991
18	6948
9	995
18	2188
22	2744
14	1878
13	1285
12	220
13	9181
19	7696
18	7818
19	1466
15	6354
11	4198
24	7665
15	1449
13	2773
16	9657
14	6967
17	4415
8	6642
14	2522
9	159
17	7443
16	1197
13	1286
22	1720
17	6378
20	2614
17	5710
16	9678
15	3608
17	2421
21	5486
17	5533
11	2640
14	1794
15	4713
20	6688
15	9612
20	2530
19	3544
14	6727
25	7560
17	3765
20	5852
12	3568
10	732
15	6618
11	210
13	3253
14	6776
19	7652
11	4414
16	5723
18	3531
22	7027
19	1432
23	3208
20	6987
18	5680
16	5628
16	8824
20	1213
16	4620
10	617
17	1307
20	6580
19	4807
8	1202
13	8897
20	7885
21	8761
11	2661
12	88
16	2328
18	9744
19	6705
23	2537
20	9348
18	9833
22	6540
9	149
16	4246
10	2262
8	31
16	1272
9	45
20	3238
17	8258
20	5725
19	5217
16	7081
22	3289
23	9836
14	4050
15	1917
19	7494
10	629
11	3075
15	8695
14	9525
15	960
21	7455
24	8538
15	7399
19	6135
23	8281
17	8671
17	3936
13	1563
10	481
22	8181
16	3824
17	511
18	5804
8	221
20	3748
11	414
17	5945
10	3846
17	5585
17	1504
14	7895
20	7501
15	8997
22	4876
9	576
22	7692
22	4400
18	7887
12	1498
17	5285
13	3922
23	5740
16	2655
15	7902
11	9675
13	4217
11	8382
15	4207
17	4392
16	8892
20	6363
13	4612
17	8991
21	6908
11	621
16	8844
18	2161
16	8516
19	6345
13	1158
11	3391
13	3272
20	5201
19	4142
14	6698
22	9783
17	2794
18	4330
19	3704
17	8534
20	6984
12	7957
14	4560
15	7552
13	6338
28	8295
16	1581
17	5129
16	9259
18	6923
21	8256
20	6166
20	7580
16	8876
13	5010
16	9741
16	3743
15	7706
18	7250
16	3485
15	7329
15	2450
17	7627
14	8486
23	9147
15	3761
16	7631
15	9828
15	6164
16	3163
13	1772
12	724
18	7066
14	4461
19	5842
20	5361
13	6041
14	970
19	4619
21	9315
27	9225
16	7136
22	6894
21	4452
16	8497
16	2986
17	8195
16	2554
11	235
13	1679
20	9882
18	9036
12	5657
18	8367
14	4535
21	9417
17	5998
19	4362
14	3232
20	8513
9	3877
17	1355
20	9236
16	942
17	5815
22	5077
13	2654
20	8207
18	2398
23	7521
20	7974
13	760
14	2426
17	9256
15	3752
11	620
15	1810
20	3987
26	8650
15	1691
17	3022
20	4307
14	6410
11	7556
11	75
17	8759
17	8270
18	9659
18	3623
20	8498
14	1013
17	2859
21	9439
20	3180
16	4287
16	8445
12	1386
20	3037
15	5716
16	5259
12	1010
19	2827
22	9673
12	3435
15	2083
18	3424
15	406
16	244
18	3762
20	9056
16	8286
17	3136
13	1047
20	7043
18	9788
12	6157
13	1664
16	5798
14	9780
8	161
24	8990
20	5952
27	6342
19	4396
13	4079
19	2664
15	6463
13	9337
15	3674
18	9290
15	3460
21	7724
16	5137
9	218
23	7967
18	5250
17	9273
23	2604
18	8385
18	5338
12	1780
17	1477
19	6159
22	3443
14	7275
14	2290
18	3604
24	6789
19	9555
18	3130
15	7259
