Comparações_AVL	Tamanho_AVL
14	1052
12	5889
13	6356
13	5552
13	2311
10	1382
12	8852
12	4233
13	9239
13	5226
12	7017
13	4966
11	7270
12	4974
12	5840
13	4643
12	4147
12	4148
15	5665
12	3934
13	5786
13	9300
9	1231
12	4593
13	2636
12	5162
13	9131
15	8957
14	8462
14	7848
8	654
14	9514
8	89
12	3362
13	5065
12	2399
9	1095
12	3917
15	6631
14	333
12	5494
13	9999
13	1650
11	2763
10	1324
12	7489
13	7405
13	5471
13	1637
14	9422
15	5756
14	3774
14	8721
14	6986
13	8366
13	7709
14	8499
10	3848
12	3017
14	6961
14	8048
5	22
12	2826
13	8136
12	3383
14	7890
13	534
9	829
14	8158
11	3516
13	1162
6	3
12	3515
13	9163
11	2766
12	4838
11	3004
13	6522
14	6660
11	992
13	5943
14	8767
12	4765
8	1016
13	2104
12	9482
13	8724
11	6955
12	9681
14	8092
8	267
13	7728
15	8113
14	3092
13	2215
11	1496
14	7333
13	2748
13	2324
14	5491
12	2616
14	9837
14	5493
12	6130
12	5352
11	4610
14	7319
14	8355
10	1132
13	331
14	9346
12	3426
15	9097
10	462
13	793
13	7553
14	9943
12	9516
11	4507
14	5975
9	3959
12	4773
12	3703
11	2072
13	7864
12	5917
15	9919
12	5196
13	5017
12	8594
12	7038
13	7632
14	8431
14	8883
5	113
10	134
12	3492
14	7431
15	8488
10	975
15	7761
14	7833
14	753
12	3210
13	4646
12	1545
11	762
11	940
13	7413
12	5268
12	6914
11	1371
7	40
7	616
13	3442
11	4255
13	2885
11	3360
13	5802
11	4253
14	8306
14	2840
13	8236
11	3088
11	1722
15	8348
14	3221
12	1565
11	2130
12	1708
10	2540
14	6243
13	5892
13	3292
13	9452
12	537
13	1188
11	6565
13	1476
14	8600
11	1832
12	8389
14	9971
15	8223
8	5357
14	9764
11	2477
13	9476
13	4630
15	8845
15	7781
12	7469
12	3432
7	868
13	9190
13	8131
13	4088
15	7107
11	260
14	5795
14	9646
13	2854
15	8038
12	9289
14	8657
14	8574
12	476
12	5221
15	6401
14	9076
14	3404
13	4789
11	5398
12	7978
13	6497
13	5161
14	6806
11	1089
12	988
13	1436
14	6285
14	8768
14	8904
15	9716
13	9635
13	4446
14	7846
10	74
13	1552
12	4458
12	5868
12	7549
12	3663
13	3905
11	3189
10	2320
14	8830
10	3664
14	3892
12	5230
15	9091
11	3648
14	6371
14	840
12	1625
